Slur found: n Go	Phonicated: NKA   	Context: u mean God?
Slur found: n charac	Phonicated: NKARAK   	Context: artoon character.
Slur found: n go	Phonicated: NKA   	Context: t even gods ne
Slur found: unges	Phonicated: ANJS   	Context: man lunges at R
Slur found: n aga	Phonicated: NAKA   	Context: prison again!
Slur found: f we get	Phonicated: FAKAT   	Context: hat if we get caug
Slur found: f we get	Phonicated: FAKAT   	Context: But if we get caug
Slur found: ne Qu	Phonicated: NAKA   	Context: st eine Quanten
Slur found: n. Ge	Phonicated: NKA   	Context: öffnen. Genau w
Slur found: no! Ge	Phonicated: NAKA   	Context: ing Uno! Get in 
Slur found: n charac	Phonicated: NKARAK   	Context: artoon characters,
Slur found: n charac	Phonicated: NKARAK   	Context: artoon character.
Slur found: n charac	Phonicated: NKARAK   	Context: artoon character? 
Slur found: n charac	Phonicated: NKARAK   	Context: artoon character. 
Slur found: n co	Phonicated: NKA   	Context: e than complic
Slur found: n go	Phonicated: NKA   	Context: s been going o
Slur found: n ga	Phonicated: NKA   	Context: is own game.
Slur found: n, oka	Phonicated: NAKA   	Context: e down, okay?
Slur found: ave a good	Phonicated: AFAKAT   	Context:  to have a good time
Slur found: n aga	Phonicated: NAKA   	Context: tep in again.
Slur found: n, I gu	Phonicated: NAKA   	Context: of fun, I guess.
