Slur found: ne Joh	Phonicated: NAJA   	Context: Dwayne JohnsoNO
Slur found: ove a good	Phonicated: AFAKAT   	Context: , I love a good pran
Slur found: n go	Phonicated: NKA   	Context: all in good fu
Slur found: constantly go	Phonicated: KANSTANTKA   	Context: he's constantly going "
Slur found: n, I gu	Phonicated: NAKA   	Context: I mean, I guess, 
Slur found: n' ge	Phonicated: NKA   	Context: fuckin' get it 
Slur found: n' ge	Phonicated: NKA   	Context: fuckin' get to 
Slur found: n' ge	Phonicated: NKA   	Context: fuckin' get to 
Slur found: Now qu	Phonicated: NAKA   	Context: rty. Now quit yo
Slur found: ny ge	Phonicated: NAKA   	Context:  in any geopoli
Slur found: f are God	Phonicated: FARKAT   	Context: ind of are God.
Slur found: n co	Phonicated: NKA   	Context: ack in control
Slur found: n AI ge	Phonicated: NAKA   	Context: let an AI generat
Slur found: nager	Phonicated: NAKAR   	Context: l teenager. Tha
Slur found: n' ca	Phonicated: NKA   	Context: fuckin' catgirl
Slur found: f a cat	Phonicated: FAKAT   	Context: ck: Of a catgirl,
Slur found: Now ge	Phonicated: NAKA   	Context: let! Now get out
Slur found: ung, I	Phonicated: ANKA   	Context: et stung, I'm bl
Slur found: f I get	Phonicated: FAKAT   	Context: But if I get stNO
Slur found: n go	Phonicated: NKA   	Context: . Even gods. 
Slur found: n co	Phonicated: NKA   	Context: e been cool.
