Slur found: Now ge	Phonicated: NAKA   	Context: ick. Now get out
Slur found: nages	Phonicated: NAJS   	Context: ck manages to l
Slur found: nco	Phonicated: NKA   	Context: ext encoding 
Slur found: neck o	Phonicated: NAKA   	Context: o my neck of the
Slur found: n Co	Phonicated: NKA   	Context: Trojan Condoms
Slur found: n Co	Phonicated: NKA   	Context: Trojan Condoms
Slur found: n Co	Phonicated: NKA   	Context: Trojan Condoms
Slur found: n Co	Phonicated: NKA   	Context: Trojan Condoms
Slur found: n Co	Phonicated: NKA   	Context: Trojan Condoms
Slur found: n ago	Phonicated: NAKA   	Context: eam in agonizin
Slur found: n a ga	Phonicated: NAKA   	Context: 're in a garage.
Slur found: n cr	Phonicated: NKR   	Context: etween crazy a
Slur found: n a go	Phonicated: NAKA   	Context: not in a good wa
Slur found: n go	Phonicated: NKA   	Context: s been going o
Slur found: na joi	Phonicated: NAJA   	Context: s gonna join us.
Slur found: n ogr	Phonicated: NAKR   	Context: ing an ogre and
Slur found: n, oh je	Phonicated: NAJA   	Context: Oh man, oh jeez, I
Slur found: n gu	Phonicated: NKA   	Context:  alien gut bug
Slur found: n ge	Phonicated: NKA   	Context: t kein gewöhnl
Slur found: n Qu	Phonicated: NKA   	Context: er von Quanten
Slur found: noch u	Phonicated: NAKA   	Context: mmer noch unsere
